"name_group","decision","quarantined_from_enrichment","candidate_keys","addresses","reason","official_evidence_urls"
"ja:岐阜県:洞雲寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:210000263500 | geoshape-nrct-poi:210000390400","岐阜県 飛騨市 神岡町船津570番地 | 岐阜県 飛騨市 神岡町船津570番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:岐阜県:津島神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000070500 | geoshape-nrct-poi:210000386000","岐阜県 岐阜市 石原一丁目132番地 | 岐阜県 飛騨市 神岡町山田524番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:洲原神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:210000221300","岐阜県 美濃市 須原468番地 / 岐阜県美濃市須原468-1-1","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:岐阜県:浄光寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:210000153300 | geoshape-nrct-poi:210000306100","岐阜県 安八郡輪之内町 福束56番地 | 岐阜県 安八郡輪之内町 福束56番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:岐阜県:熊野神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000225300 | geoshape-nrct-poi:210000234300","岐阜県 岐阜市 綱代則松字大洞口1183番地 | 岐阜県 郡上市八幡町小那比 字宮ケ洞3564番地の1","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:白山神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:210000152300 | geoshape-nrct-poi:210000154300 | geoshape-nrct-poi:210000226900 | geoshape-nrct-poi:210000237600 | geoshape-nrct-poi:210000240800 | geoshape-nrct-poi:210000246100 | geoshape-nrct-poi:210000361800","岐阜県 本巣市 根尾能郷162番地 | 岐阜県 岐阜市 大字日野日野字舟伏山3967番地の2 | 岐阜県 岐阜市 大字日野日野字舟伏山3967番地の2 | 岐阜県 郡上市和良町宮代 字天王1814番地 | 岐阜県 郡上市大和町大間見 863番地の1 | 岐阜県 岐阜市 大字日野日野字舟伏山3967番地の2 | 岐阜県 高山市 若達町一丁目若達町1丁目74番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:岐阜県:神明神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000260300 | geoshape-nrct-poi:210000266800 | geoshape-nrct-poi:210000383500","岐阜県 加茂郡八百津町 久田見3966番地の2 | 岐阜県 加茂郡東白川村 神土2227番地1 | 岐阜県 飛騨市 宮川町西忍字牛山472番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:貴船神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000212800 | geoshape-nrct-poi:210000275100","岐阜県 関市 貴船町20番地 | 岐阜県 大垣市 上石津町宮708番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:長塚古墳","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:210000097400 | geoshape-nrct-poi:210000280900","岐阜県 大垣市 矢道町一丁目 | 岐阜県 可児市 中恵土","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岐阜県:長蔵寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:210000222600 | geoshape-nrct-poi:210000251900","岐阜県 加茂郡坂祝町 酒倉169番地 | 岐阜県 加茂郡坂祝町 酒倉169番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:岡山県:八幡神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:340000041000 | geoshape-nrct-poi:340000048200 | geoshape-nrct-poi:340000049300 | geoshape-nrct-poi:340000105000 | geoshape-nrct-poi:340000113500","岡山県 勝田郡奈義町 柿944番地 | 岡山県 岡山市 北区川入1165番地 | 岡山県 岡山市 北区川入1165番地 | 岡山県 岡山市 北区川入1165番地 | 岡山県 岡山市 北区川入1165番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:岡山県:構城跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:340000046100 | geoshape-nrct-poi:340000073000","岡山県 勝田郡勝央町 植月中 | 岡山県 津山市 院庄","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岡山県:津山城跡","MERGED_SUPPORTED","false","geoshape-nrct-poi:340000063800","135 Sange, Tsuyama-shi, Okayama-ken / 岡山県 津山市 山下","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:岩手県:五葉山神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:030000014000 | geoshape-nrct-poi:030000016500","岩手県 盛岡市 繋字下祢宜屋敷33番地 | 岩手県 大船渡市 日頃市町字関谷27番地5","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:岩手県:無量光院跡","MERGED_SUPPORTED","false","geoshape-nrct-poi:030000036200","Hanadate, Hiraizumi-cho, Nishiiwai-gun, Iwate-ken / 岩手県 西磐井郡平泉町 平泉","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:島根県:山狭神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:330000076400 | geoshape-nrct-poi:330000076600","島根県 安来市 広瀬町下山佐1176番地 | 島根県 安来市 広瀬町上山佐598番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:島根県:洞光寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:330000047800 | geoshape-nrct-poi:330000073300","島根県 松江市 新町832番地 | 島根県 安来市 広瀬町広瀬1431番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:広島県:亀山城跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:350000021400 | geoshape-nrct-poi:350000061000","広島県 庄原市 東城町小奴可 | 広島県 三次市 西河内町","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:広島県:光善寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:350000033800 | geoshape-nrct-poi:350000048900","広島県 庄原市 口和町永田601番地 | 広島県 三次市 三良坂町三良坂1813番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:広島県:厳島神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","candidate:B_V1_PROPOSED:60523 | geoshape-nrct-poi:350000043400 | geoshape-nrct-poi:350000057100"," | 広島県 三次市 十日市中四丁目7番11号 | 広島県 三次市 十日市中四丁目7番11号","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.","https://www.japan.travel/en/spot/887/"
"ja:広島県:岩屋寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:350000016200 | geoshape-nrct-poi:350000062100","広島県 神石郡神石高原町 小畠386番地 | 広島県 三次市 畠敷町2112番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:広島県:杵築神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:350000030200 | geoshape-nrct-poi:350000042800","広島県 三次市 君田町櫃田979番地 | 広島県 三次市 君田町櫃田979番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:広島県:熊野神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:350000027700 | geoshape-nrct-poi:350000061900","広島県 安芸高田市 向原町坂3891番地 | 広島県 三次市 畠敷町629番地1","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:広島県:石神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:350000013300 | geoshape-nrct-poi:350000021800","広島県 庄原市 東城町塩原628番地 | 広島県 庄原市 東城町塩原628番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:広島県:艮神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:350000035700 | geoshape-nrct-poi:350000050700","広島県 庄原市 本郷町292番地 | 広島県 三次市 石原町967番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:徳島県:八幡神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:370000023200 | geoshape-nrct-poi:370000025000 | geoshape-nrct-poi:370000049800 | geoshape-nrct-poi:370000054000 | geoshape-nrct-poi:370000057900 | geoshape-nrct-poi:370000058500 | geoshape-nrct-poi:370000062100 | geoshape-nrct-poi:370000067100 | geoshape-nrct-poi:370000071400","徳島県 板野郡板野町 下庄字栖養65番地 | 徳島県 板野郡板野町 矢武字鏡松矢武2番地 | 徳島県 吉野川市 鴨島町牛島1002番地 | 徳島県 那賀郡那賀町 和食郷字八幡原150番地 | 徳島県 美馬市 穴吹町穴吹字楠ノ本21番地 | 徳島県 美馬市 穴吹町三島字三谷876番地 | 徳島県 那賀郡那賀町 和食郷字八幡原150番地 | 徳島県 名東郡佐那河内村 下字高樋79番地 | 徳島県 名東郡佐那河内村 下字高樋79番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:徳島県:地蔵寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60424 | geoshape-nrct-poi:370000024900","所在地：徳島県板野郡板野町羅漢字林東5 電話：088-672-4111 | 徳島県 徳島市 金沢二丁目5番81号","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:徳島県:安楽寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:370000026800 | geoshape-nrct-poi:370000061300","徳島県 板野郡上板町 引野字寺ノ西北8番地 | 徳島県 板野郡上板町 引野字寺ノ西北8番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:徳島県:法輪寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:370000029900","徳島県 阿波市 土成町土成字田中土成町土成198番地の2 / 所在地：徳島県阿波市土成町土成字田中198-2 電話：088-695-2080","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:徳島県:葛城神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:370000037300 | geoshape-nrct-poi:370000039300","徳島県 鳴門市 北灘町粟田字池谷2番地 | 徳島県 鳴門市 大麻町姫田大森大麻町姫田字1番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:徳島県:金泉寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:370000022000","徳島県 板野郡板野町 大寺字亀山下66番地 / 所在地：徳島県板野郡板野町大字亀山下66 電話：088-672-1087","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:徳島県:霊山寺","HOLD_CROSS_SOURCE_LOCATION_CONFLICT","true","candidate:B_V1_PROPOSED:60149 | geoshape-nrct-poi:370000042300","所在地：徳島県鳴門市大麻町板東塚鼻126 電話：088-689-1111 | 徳島県 鳴門市 大麻町板東字鍛治屋川大麻町板東52番地","Primary/locality evidence conflicts with the retained house number, neighborhood or historical point. Preserve source identities separately; do not invent an address correction or assert an alias.",""
"ja:愛媛県:一宮神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:390000017400 | geoshape-nrct-poi:390000034700","愛媛県 八幡浜市 合田字ムカイヨリ703番地 | 愛媛県 八幡浜市 合田字ムカイヨリ703番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:愛媛県:三島神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:390000029000 | geoshape-nrct-poi:390000048200","愛媛県 松山市 吉藤一丁目2番25号 | 愛媛県 松山市 吉藤一丁目2番25号","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:愛媛県:八雲神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:390000018900 | geoshape-nrct-poi:390000054800","愛媛県 西条市 丹原町高松乙58番地 | 愛媛県 西条市 丹原町高松乙58番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:愛媛県:宝寿寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60480 | geoshape-nrct-poi:390000048300","所在地：愛媛県西条市小松町新屋敷甲428 電話：0898-72-2210 | 愛媛県 今治市 中寺45番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛媛県:延命寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60472 | geoshape-nrct-poi:390000019200","所在地：愛媛県今治市阿方甲636 電話：0898-22-5696 | 愛媛県 南宇和郡愛南町 御荘平山547番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛媛県:松尾城跡","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:390000029800 | geoshape-nrct-poi:390000050300","愛媛県 四国中央市 中曽根町 | 愛媛県 西条市 小松町安井","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛知県:八幡社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:230000017800 | geoshape-nrct-poi:230000074000","愛知県 日進市 折戸町寺脇123番地 | 愛知県 名古屋市 千種区千種二丁目18番14号","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛知県:円盛寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:230000017300 | geoshape-nrct-poi:230000092800","愛知県 愛知郡東郷町 大字春木中通屋敷1284番地 | 愛知県 愛知郡東郷町 大字春木中通屋敷1284番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:愛知県:円福寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:230000047500 | geoshape-nrct-poi:230000083400","愛知県 岡崎市 岩津町字檀ノ上岩津町85番地 | 愛知県 名古屋市 熱田区神戸町301番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛知県:別小江神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:230000037900","愛知県 名古屋市 北区安井四丁目14番14号","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://aichinow.pref.aichi.jp/spots/detail/3903/"
"ja:愛知県:名古屋城","MERGED_SUPPORTED","false","geoshape-nrct-poi:230000054600","1-1 Honmaru, Naka-ku, Nagoya-shi, Aichi-ken / 愛知県 名古屋市中区 本丸","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:愛知県:神明社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:230000028500 | geoshape-nrct-poi:230000100000","愛知県 名古屋市 中村区名駅五丁目13番6号 | 愛知県 名古屋市 南区豊田町字戸部下河原2087番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛知県:聖徳寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:230000037500 | geoshape-nrct-poi:230000064400 | geoshape-nrct-poi:230000084000","愛知県 名古屋市 名東区平和が丘四丁目300番地 | 愛知県 名古屋市 名東区平和が丘四丁目300番地 | 愛知県 名古屋市 熱田区大瀬子町702番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:愛知県:観音寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:230000016300 | geoshape-nrct-poi:230000046400 | geoshape-nrct-poi:230000091100","愛知県 愛知郡東郷町 大字諸輪字観音畑大字諸輪8番地 | 愛知県 名古屋市 中川区露橋町8番地 | 愛知県 名古屋市 中川区荒子町字宮窓138番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:愛知県:長久手古戦場","HOLD_CROSS_SOURCE_LOCATION_CONFLICT","true","candidate:B_V1_PROPOSED:60026 | geoshape-nrct-poi:230000020400","Hotokegane, Nagakute-shi, Aichi-ken | 愛知県 長久手市 横道","Primary/locality evidence conflicts with the retained house number, neighborhood or historical point. Preserve source identities separately; do not invent an address correction or assert an alias.",""
"ja:愛知県:高牟神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:230000027100 | geoshape-nrct-poi:230000102600","愛知県 名古屋市 守山区瀬古東一丁目630番地 | 愛知県 名古屋市 守山区瀬古東一丁目630番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:新潟県:青海神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R04-020 | geoshape-nrct-poi:150000010900","新潟県加茂市大字加茂字宮山229番地 | 新潟県 糸魚川市 大字青海762番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:新潟県:高田城跡","MERGED_SUPPORTED","false","geoshape-nrct-poi:150000104600","6-1 Motoshiro-cho, Joetsu-shi, Niigata-ken / 新潟県 上越市 本城町","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:東京都:北野神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R03-127 | geoshape-nrct-poi:130000191500","東京都文京区春日1-5-2 | 東京都 中野区 新井四丁目14番3号","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:東京都:増上寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:130000122900","4-7-35 Shibakoen, Minato-ku, Tokyo-to / 東京都 港区 芝公園四丁目7番","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:東京都:日枝神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60276 | geoshape-nrct-poi:130000031400","2-10-5 Nagata-cho, Chiyoda-ku, Tokyo-to | 東京都 八王子市 美山町245番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:東京都:靖国神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:130000036600","東京都 千代田区 九段北三丁目1番","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.yasukuni.or.jp/access.html?id=vehicle"
"ja:沖縄県:ひめゆりの塔","MERGED_SUPPORTED","false","geoshape-nrct-poi:480000051000","671-1 Azaihara, Itoman-shi, Okinawa-ken / 沖縄県 糸満市 字伊原","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:沖縄県:斎場御嶽","MERGED_SUPPORTED","false","geoshape-nrct-poi:480000063900","沖縄県 南城市 知念字久手堅","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.okinawastory.jp/spot/1395"
"ja:沖縄県:玉陵","MERGED_SUPPORTED","false","geoshape-nrct-poi:480000019800","沖縄県 那覇市 首里金城町一丁目","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.city.naha.okinawa.jp/shisetsu/reisure/1007835/1003522.html"
"ja:滋賀県:安養寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:250000078400 | geoshape-nrct-poi:250000089300","滋賀県 大津市 神領三丁目5番36号 | 滋賀県 栗東市 安養寺六丁目5番10号","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:滋賀県:建部大社","MERGED_SUPPORTED","false","geoshape-nrct-poi:250000080300","滋賀県 大津市 神領一丁目16番 / 滋賀県大津市神領1丁目16-1","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:滋賀県:日吉大社","MERGED_SUPPORTED","false","geoshape-nrct-poi:250000059600","滋賀県 大津市 坂本五丁目1番1号","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.biwako-visitors.jp/spot/detail/84/"
"ja:滋賀県:石山寺","HOLD_CROSS_SOURCE_LOCATION_CONFLICT","true","candidate:B_V1_PROPOSED:60324 | geoshape-nrct-poi:250000076800","1-1-1-1 Ishiyamadera, Otsu-shi, Shiga-ken | 滋賀県 大津市 螢谷5番1号","Primary/locality evidence conflicts with the retained house number, neighborhood or historical point. Preserve source identities separately; do not invent an address correction or assert an alias.",""
"ja:熊本県:長福寺跡","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:440000040400 | geoshape-nrct-poi:440000060300","熊本県 山鹿市 鹿央町北谷 | 熊本県 山鹿市 鹿央町北谷","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:石川県:白山比咩神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60528 | geoshape-nrct-poi:170000085500"," | 石川県 鹿島郡中能登町 能登部下壱弐能登部下五甲部29番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.","https://www.shirayama.or.jp/about/"
"ja:石川県:那谷寺","MERGED_SUPPORTED","false","geoshape-nrct-poi:170000074400","石川県 小松市 那谷町ユ122番地","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.","https://www.ishikawatravel.jp/en/spots/natadera-temple/"
"ja:石川県:願成寺","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:170000019400 | geoshape-nrct-poi:170000033200","石川県 小松市 島町リ島町136番地 | 石川県 小松市 島町リ島町136番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:神奈川県:稲毛神社","MERGED_SUPPORTED","false","geoshape-nrct-poi:140000012300","神奈川県 川崎市 川崎区宮本町7番地 / 神奈川県川崎市川崎区宮本町7-7","All baseline members now belong to one explicit evidence-backed candidate group; no Master Code allocated.",""
"ja:福井県:春日神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:180000046600 | geoshape-nrct-poi:180000052300 | geoshape-nrct-poi:180000056600 | geoshape-nrct-poi:180000064400 | geoshape-nrct-poi:180000064800","福井県 坂井市 三国町新保18番地 | 福井県 福井市 菖蒲谷町47号17番地 | 福井県 福井市 菖蒲谷町47号17番地 | 福井県 坂井市 坂井町東荒井13号13番地 | 福井県 坂井市 坂井町下兵庫25番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:福岡県:円清寺","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:410000055500 | geoshape-nrct-poi:410000097800","福岡県 朝倉市 杷木志波5277番地 | 福岡県 朝倉市 杷木志波5277番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:福岡県:宮地嶽神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B_V1_PROPOSED:60584 | geoshape-nrct-poi:410000114000"," | 福岡県 朝倉市 杷木松末932番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.","https://www.crossroadfukuoka.jp/spot/10236"
"ja:福岡県:日吉神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:410000063200 | geoshape-nrct-poi:410000065900","福岡県 福岡市 早良区大字脇山2895番地 | 福岡県 福岡市 早良区大字脇山2895番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:福岡県:美奈宜神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:410000110200 | geoshape-nrct-poi:410000112300","福岡県 朝倉市 荷原2421番地 | 福岡県 朝倉市 荷原2421番地","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:福岡県:須賀神社","HOLD_SOURCE_IDENTITY_AMBIGUITY","true","geoshape-nrct-poi:410000066900 | geoshape-nrct-poi:410000107000","福岡県 福岡市 早良区田村三丁目18番6号 | 福岡県 福岡市 早良区田村三丁目18番6号","Different historical provider entries share an estimated coordinate; same name/address/point does not establish an alias.",""
"ja:福岡県:鷹見神社","HOLD_ADDRESS_COORDINATE_CONTRADICTION","true","geoshape-nrct-poi:410000046400 | geoshape-nrct-poi:410000047600","福岡県 遠賀郡水巻町 猪熊大字786番地 | 福岡県 遠賀郡水巻町 猪熊大字786番地","Same retained address is attached to different historical points. Do not merge or silently correct source geography.",""
"ja:福島県:温泉神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R02-163 | geoshape-nrct-poi:070000037700","福島県いわき市常磐湯本町三函322 | 福島県 郡山市三穂田町山口 字温泉三穂田町山口山1番12","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:福島県:熊野神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","candidate:B-SNS-20260915-R02-035 | candidate:B-SNS-20260915-R09-006 | geoshape-nrct-poi:070000029100","福島県いわき市常磐藤原町藤代172 | 福島県いわき市遠野町大平字物見岡90 | 福島県 福島市 下飯坂字熊野15番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:福島県:長福寺","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:070000055900 | geoshape-nrct-poi:070000062600","福島県 いわき市 小川町下小川上ノ台120番地 | 福島県 双葉郡川内村 大字上川内字三合田29番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:秋田県:八幡神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:050000038700 | geoshape-nrct-poi:050000070400 | geoshape-nrct-poi:050000093200 | geoshape-nrct-poi:050000105100","秋田県 由利本荘市 谷地町50番地 | 秋田県 横手市 雄物川町沼館字沼館25番地 | 秋田県 大仙市 鑓見内幕林鑓見内字143番地 | 秋田県 秋田市 雄和田草川字本田151番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:秋田県:新山神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:050000031800 | geoshape-nrct-poi:050000041100","秋田県 由利本荘市 大内三川字川端273番地 | 秋田県 由利本荘市 石脇字東山4番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
"ja:秋田県:熊野神社","KEEP_SEPARATE_DISTINCT_SOURCE_LOCATIONS","false","geoshape-nrct-poi:050000054700 | geoshape-nrct-poi:050000081400 | geoshape-nrct-poi:050000087500","秋田県 秋田市 下北手柳館字細谷沢下北手柳舘91番地 | 秋田県 横手市 明永町10番1号 | 秋田県 仙北郡美郷町 六郷字米町六郷27、28、29番地","Source identities have different locality/address evidence. Retain separate candidates; this is not current existence or navigation certification.",""
